"K2"	"K4"	"K10"	"K3"	"K5"	"K23"	"K7"	"K24"	"K19"	"K8"	"K9"	"K28"	"K12"	"K6"	"K30"	"K21"	"K11"	"K14"	"K17"	"K27"	"K16"	"K1"	"K20"	"K25"	"K26"	"K22"	"K13"	"K18"	"K29"	"K15"
"EMRRSM"	28	42	806	4	84	236	80	2	16	2	0	114	26	422	38	56	18	24	18	12	50	0	0	18	30	6	316	2	36	244
"EMRY"	21	12	4071	0	37	38	96	2	2	0	0	45	4	66	20	74	4	6	0	2	10	0	0	22	15	10	122	0	0	2
"EMTA"	2	8	0	0	52	6	24	8	0	0	0	6	0	158	12	18	2	4	0	6	22	0	0	8	4	0	6	0	0	10
"EPTA"	55	14	8346	0	102	154	107	29	19	8	2	208	2	429	20	137	46	36	16	34	100	10	26	74	59	34	174	2	31	83
"EREA"	40	12	0	2	88	78	114	8	16	2	0	66	0	58	114	74	50	14	16	6	62	2	4	24	42	12	128	4	12	32
"EREB"	12	18	0	0	32	4	18	0	4	0	0	2	2	28	4	12	0	2	8	0	20	0	0	2	0	2	18	0	0	4
"ERED"	10	4	0	2	32	158	46	0	2	0	0	8	4	21	14	26	8	12	0	8	40	2	0	2	10	10	12	0	12	2
"ERM"	282	199	3632	62	1187	1587	786	86	188	42	4	1080	114	7482	318	641	292	317	68	280	870	28	30	296	304	151	1018	94	140	1661
"ERM30"	26	36	4	0	124	162	58	6	14	4	0	120	2	392	2	44	20	12	16	18	68	0	6	14	14	2	62	18	0	82
"ERM32"	35	46	244	10	149	458	98	20	24	6	0	270	36	1222	60	74	18	64	23	36	132	3	0	60	49	38	199	32	18	438
"ERM37"	16	4	2	0	34	54	26	12	16	4	0	30	10	188	2	18	8	20	4	8	28	0	6	20	10	0	46	0	6	67
"ERM41"	14	6	450	2	44	46	32	0	12	4	0	28	0	184	32	44	6	12	6	10	42	2	2	16	36	4	56	4	4	54
"ERM42"	8	0	0	0	10	6	14	0	0	0	0	2	0	20	4	2	2	0	2	0	0	0	0	4	0	2	6	0	0	2
"ERM44"	2	0	2	0	6	0	12	0	0	2	0	4	0	4	0	10	10	4	2	0	2	0	0	0	4	0	2	0	0	0
"ERMA"	32	2	302	0	26	16	64	6	6	0	0	24	0	51	14	28	6	10	4	6	22	2	6	6	6	3	44	0	0	8
"ERMB"	12	10	41	18	19	16	53	2	4	0	0	1570	4	54	19	28	3	33	2	72	25	6	6	16	27	30	41	0	3	13
"ERMC"	6	6	4	0	16	10	38	0	2	6	0	20	0	34	10	12	8	0	4	2	4	0	0	2	20	2	24	0	0	4
"ERMD"	10	14	92	0	66	50	60	0	4	8	0	18	0	16	8	22	4	2	0	14	20	0	6	8	0	18	14	4	2	8
"ERME"	72	32	206	4	272	310	124	34	82	8	2	290	12	1026	54	304	46	76	6	92	128	10	22	66	66	46	202	16	10	238
"ERMF"	18	8	1	0	20	38	66	41	0	2	0	16	0	9	2	22	6	18	2	8	22	0	0	12	6	12	6	2	0	2
"ERMG"	0	4	0	0	6	0	14	0	0	0	0	2	0	8	4	4	2	0	0	2	8	0	0	8	2	2	8	0	0	4
"ERMH"	42	6	0	2	144	236	76	4	36	10	2	108	12	314	34	52	26	42	14	52	94	2	0	26	54	8	490	12	30	204
"ERMN"	30	8	794	4	68	132	74	18	20	2	6	94	6	384	10	48	28	28	8	62	54	0	4	24	38	12	120	8	2	120
"ERMO"	86	62	1216	14	342	632	198	18	40	2	2	470	44	2194	102	70	84	148	26	110	190	18	14	186	84	44	998	50	46	788
"ERMQ"	11	4	0	0	10	30	4	9	0	0	0	30	0	27	2	2	9	61	0	15	15	0	3	6	12	4	14	14	0	0
"ERMR"	54	42	1106	14	204	580	124	12	34	6	2	583	66	2968	26	88	80	68	22	74	140	2	0	84	56	10	242	36	34	714
"ERMS"	56	12	218	12	134	348	64	14	8	2	0	152	18	634	42	86	20	38	8	30	84	18	6	40	20	16	110	10	38	372
"ERMT"	4	3	0	0	6	8	16	0	0	0	0	47	0	34	6	8	0	0	0	4	2	0	0	0	10	0	2	0	0	8
"ERMU"	36	6	22	6	128	188	42	6	14	0	0	60	6	714	20	62	14	24	2	36	104	0	6	22	26	14	50	6	28	166
"ERMV"	52	40	28	4	256	376	120	74	24	0	0	302	42	1254	18	84	48	104	40	58	194	12	18	72	74	44	210	12	26	356
"ERMX"	20	10	0	0	110	83	62	10	10	6	0	86	4	230	62	80	12	16	10	24	54	0	4	24	42	10	66	10	20	118
"ERP"	32	16	14	6	94	180	72	20	34	2	0	80	12	302	42	42	26	32	6	56	60	4	6	36	36	16	110	4	10	196
"ESP"	6	2	0	0	64	18	24	0	4	18	0	20	0	8	12	30	2	4	4	6	18	0	0	12	18	14	30	0	10	2
"ESTD"	56	20	2340	12	314	374	192	16	26	14	4	296	12	1440	84	105	66	86	32	88	170	6	2	72	46	32	262	38	28	458
"ETHA|RequiresSNPConfirmation"	84	16	98	16	252	275	132	52	34	0	0	211	8	358	66	160	50	44	26	36	182	0	4	55	78	28	244	30	8	168
"EVGA"	14	6	1693	0	24	14	28	15	0	0	0	16	0	10	8	35	3	14	14	10	8	3	0	11	16	0	42	0	0	6
"EVGS"	70	16	9988	12	144	70	162	26	22	10	8	77	2	142	65	158	51	24	9	37	86	5	2	91	50	26	194	8	6	16
"EVM"	26	22	0	8	114	114	56	8	6	2	0	94	0	196	20	68	16	24	8	38	38	0	0	28	22	6	130	12	22	70
"EXO"	30	44	1384	8	176	254	70	8	40	4	0	274	16	1618	50	66	36	44	12	64	72	0	10	40	51	10	130	7	26	366
"FABG|RequiresSNPConfirmation"	14	18	6508	0	103	158	131	18	22	4	2	186	5	319	31	151	33	42	1	24	68	2	7	31	40	17	136	11	14	320
"FABI"	36	16	8650	2	116	61	55	25	10	3	6	63	2	134	39	70	10	16	11	20	39	10	0	51	52	32	111	2	4	24
"FABK"	8	7	32	0	52	18	72	6	4	4	0	38	0	30	24	26	2	4	2	4	12	0	2	14	10	16	36	2	0	6
"FABL"	16	12	2503	2	66	12	18	4	2	6	0	6	2	14	28	28	8	6	2	2	24	0	0	13	20	10	60	6	0	13
"FABV"	18	8	2	0	56	22	38	4	6	0	0	8	0	58	22	40	10	30	6	2	42	0	2	8	10	2	54	4	12	22
"FACT"	158	66	1780	32	880	922	382	76	140	20	0	676	78	3326	152	264	104	228	60	170	378	26	22	165	122	88	796	66	74	1239
"FAR1"	54	64	668	16	236	532	160	34	46	14	6	358	22	1550	70	212	52	98	20	100	182	4	8	116	78	32	570	18	20	482
"FARA"	40	16	130	4	196	132	150	12	36	12	0	74	0	318	70	92	16	24	20	80	156	6	4	44	74	34	154	28	2	56
"FARB"	76	32	108	6	284	172	184	16	44	8	2	82	0	198	58	156	52	110	12	64	154	0	14	36	56	38	1188	26	38	84
"FARR"	2	2	288	4	72	32	60	16	22	0	0	12	0	10	20	20	4	16	8	10	56	4	4	10	34	18	22	6	6	18
"FBPA"	12	14	64	2	60	24	100	4	8	2	0	32	0	24	38	26	8	16	2	12	40	0	0	12	16	14	16	22	2	6
"FBPB"	16	4	0	0	22	10	42	6	2	0	0	10	0	24	6	32	0	4	8	4	14	0	0	12	4	4	38	4	12	4
"FBPC"	16	0	122	0	50	24	34	2	4	0	0	18	0	88	10	34	8	4	8	6	6	0	0	8	2	4	28	0	0	0
"FECD"	38	22	5401	6	167	148	90	34	34	4	4	108	4	97	34	106	34	24	18	44	134	0	2	65	42	22	97	13	14	118
"FECE"	262	122	6416	72	968	641	726	195	190	40	0	480	64	1891	236	722	240	219	62	300	590	25	34	357	367	255	896	54	122	642
"FETA"	7	0	5087	5	36	26	62	11	6	0	0	75	2	28	18	36	2	14	4	10	20	2	1	25	8	4	64	8	3	2
"FETB"	7	2	4621	0	46	64	23	17	0	0	0	49	1	15	16	33	1	8	0	2	24	6	0	26	2	32	67	11	2	8
"FEXA"	8	2	0	0	36	10	46	8	10	0	0	8	0	32	14	34	10	4	2	4	18	2	0	4	4	6	32	8	12	8
"FEXB"	4	0	0	0	8	16	24	0	4	0	0	18	0	16	16	14	0	2	0	0	6	4	0	6	24	2	16	8	4	0
"FEZ"	8	0	0	0	30	18	28	2	2	0	0	20	0	26	12	14	0	0	0	6	10	0	0	0	6	0	20	4	8	4
"FIA"	28	10	130	2	102	178	56	44	18	8	0	84	28	626	24	50	30	24	24	32	92	4	14	50	50	28	28	6	10	232
"FIEF"	22	1	6287	1	28	48	35	33	18	19	2	57	4	61	14	76	28	13	4	16	30	0	2	68	44	8	127	11	12	6
"FIM"	4	4	0	4	48	6	28	0	20	2	0	8	0	8	4	28	4	0	0	2	24	0	0	14	2	8	22	0	0	4
"FLOR"	68	36	180	10	262	246	106	24	26	4	0	176	4	202	110	92	54	44	30	49	252	2	2	40	94	40	138	10	16	78
"FMRO"	46	24	74	6	214	286	122	16	48	10	0	256	16	756	30	108	30	64	10	74	162	2	10	28	22	16	390	0	48	410
"FOLC|RequiresSNPConfirmation"	127	114	770	24	544	1573	321	94	40	22	6	731	66	7199	146	230	130	174	40	145	331	30	22	161	147	92	1644	63	85	1464
"FOLP|RequiresSNPConfirmation"	708	353	25498	72	2058	3381	1285	233	324	81	15	1861	171	7411	554	1251	476	624	144	486	1359	73	88	554	583	411	1822	141	179	2550
"FOMA"	54	16	622	10	148	242	88	20	20	2	6	130	10	590	46	90	40	52	28	56	98	6	2	44	56	2	122	12	18	292
"FOMB"	54	38	344	10	186	406	162	12	48	0	0	268	30	1524	40	68	62	106	28	46	98	6	4	84	40	22	152	34	20	528
"FONA"	36	12	324	2	200	74	138	18	34	2	2	38	0	48	42	66	26	68	10	66	96	8	6	46	44	18	122	8	0	46
"FOSA"	110	64	6001	13	567	412	278	82	98	0	2	207	5	1302	132	250	134	174	42	170	310	10	10	122	134	58	1106	46	45	334
"FOSB"	32	6	997	0	38	21	34	2	6	0	0	40	0	56	6	42	28	2	0	6	12	0	0	2	8	6	32	0	0	6
"FOSC"	10	6	214	2	32	58	48	12	18	0	0	34	2	110	16	60	12	12	0	82	48	2	0	22	40	8	10	12	16	60
"FOSD"	0	4	0	0	4	2	10	2	0	0	0	24	0	3	8	10	0	0	0	6	10	0	0	0	0	2	2	0	0	0
"FOSE"	4	6	0	0	20	4	10	0	2	0	0	2	0	6	6	12	4	2	0	4	14	2	2	2	0	0	2	0	2	0
"FOSF"	6	2	0	0	24	8	8	0	6	0	0	8	0	3	2	18	4	0	0	0	10	0	0	4	6	4	12	4	2	2
"FOSG"	2	0	0	0	14	6	2	0	0	2	0	4	0	22	18	20	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"FOSK"	16	0	0	0	4	8	10	0	4	0	0	8	0	2	6	12	4	6	8	0	0	0	0	0	0	0	26	0	2	0
"FOSX"	20	14	1223	2	110	136	64	10	24	2	0	54	26	552	24	47	22	29	8	10	64	0	6	16	24	18	62	6	12	162
"FOX"	100	21	223	2	328	259	204	16	44	6	0	130	10	1389	66	222	88	78	18	108	248	8	14	61	40	42	276	22	10	178
"FPH"	0	2	0	0	6	2	16	0	0	0	0	2	0	6	4	16	2	0	0	0	4	0	0	4	6	8	0	0	0	2
"FPTA"	99	46	25909	13	454	480	296	54	88	16	0	290	12	1121	100	324	86	118	26	112	264	16	10	174	109	85	378	30	66	261
"FPVA"	78	25	15132	14	266	292	170	41	30	13	4	204	4	431	90	168	54	58	20	70	158	0	19	65	91	31	352	8	34	207
"FRI"	6	6	0	0	86	6	44	8	10	0	0	22	0	28	24	32	24	6	2	2	38	0	4	22	32	6	58	16	10	12
"FRNE"	50	42	100	12	210	182	114	26	22	8	0	168	6	291	42	97	50	62	6	46	138	6	2	108	66	54	204	20	38	209
"FTU"	6	8	2	0	2	4	6	2	2	4	0	0	0	28	0	8	0	2	4	0	8	0	0	4	6	0	0	0	0	10
"FURA"	6	2	0	4	22	36	8	12	8	0	2	24	0	40	4	22	4	2	0	2	14	0	0	14	4	2	8	0	10	20
"FUSA|RequiresSNPConfirmation"	1328	324	10930	78	2200	4601	3734	115	276	92	1	1177	92	13536	2163	2820	818	382	239	437	1286	33	106	416	840	451	1506	111	151	808
"FUSB"	6	0	0	0	14	24	10	0	4	0	0	4	0	18	14	18	14	2	0	2	4	0	0	0	0	2	4	2	2	2
"FUSC"	6	0	0	6	0	4	8	8	0	0	0	10	0	42	8	4	0	2	0	0	28	0	0	2	4	0	8	0	0	0
"FUSD"	0	2	0	0	4	6	12	0	0	0	0	4	0	10	8	4	0	0	2	0	4	0	6	0	4	2	4	0	0	4
"FUSE|RequiresSNPConfirmation"	43	5	2123	8	99	403	190	15	16	3	2	56	2	1163	197	95	22	20	8	38	25	4	0	23	42	41	43	4	6	60
"FUSF"	8	2	32	0	28	12	108	0	2	0	0	18	0	12	14	32	20	6	6	14	14	0	0	10	6	12	42	4	14	6
"FUSH"	80	58	886	22	422	582	504	70	60	38	0	270	16	1148	98	224	98	118	68	84	322	8	24	88	176	94	544	40	44	398
"G2ALT"	8	0	401	0	24	4	16	0	6	0	0	12	0	4	8	4	0	2	0	6	22	0	0	0	6	0	4	0	0	6
"GADA"	37	80	6454	14	223	90	142	63	10	2	4	271	2	102	53	213	40	150	11	88	102	2	6	139	82	75	192	18	31	57
"GADB"	34	32	5386	6	78	19	43	27	8	6	6	68	0	115	26	107	25	37	3	38	25	0	9	42	26	34	125	12	5	20
"GADC"	34	10	4303	4	74	80	63	22	11	12	4	51	0	53	8	72	10	24	8	18	16	4	0	30	22	12	121	2	18	10
"GADE"	14	4	2215	2	20	12	22	8	0	0	0	9	1	13	20	35	6	4	0	16	20	0	1	6	12	5	29	4	12	4
"GADW"	32	2	3462	4	33	20	66	2	8	0	0	23	0	8	20	39	19	6	4	8	22	1	0	17	11	10	113	2	0	12
"GADX"	10	0	3048	2	14	12	15	9	9	0	0	25	4	5	4	48	9	7	0	4	4	0	0	24	8	0	101	2	2	4
"GALE"	24	8	0	0	26	36	44	2	2	0	0	14	0	116	6	24	4	6	0	10	8	0	0	4	6	18	4	0	0	10
"GES"	112	88	420	19	332	948	341	62	56	6	5	381	99	3202	84	192	83	110	18	174	282	8	12	114	108	44	558	26	51	656
"GESA"	26	14	6988	4	172	164	108	22	32	8	0	48	8	382	26	70	44	30	12	28	108	4	0	46	30	44	148	24	12	120
"GESB"	136	44	19195	8	370	509	228	64	70	20	12	302	23	2216	72	160	138	92	10	78	194	7	18	111	54	29	216	48	44	510
"GESC"	50	4	8439	6	94	136	86	52	24	2	2	74	0	278	26	74	36	30	2	22	59	6	8	46	38	32	106	10	38	78
"GIDB|RequiresSNPConfirmation"	8	10	262	0	38	20	40	4	0	2	4	10	0	980	10	8	18	12	4	4	52	0	0	6	12	8	14	0	0	24
"GIL"	14	0	0	2	102	16	30	4	18	2	0	20	0	8	24	32	8	2	4	8	68	6	0	6	12	12	26	6	0	4
"GIM"	6	12	0	0	12	12	26	0	2	0	0	14	4	12	8	14	4	2	0	0	16	0	0	0	2	6	16	0	4	8
"GIMA"	80	66	2420	8	256	610	212	32	52	30	6	406	40	2006	46	104	70	140	20	116	136	16	8	96	66	48	508	18	18	872
"GLPF"	16	10	6182	2	26	24	29	11	14	0	1	58	0	165	21	85	12	6	6	10	19	3	7	34	8	18	65	3	10	14
"GLPT|RequiresSNPConfirmation"	48	14	16444	2	147	130	134	27	28	1	7	195	2	157	36	140	42	53	8	62	58	0	6	96	61	22	222	13	49	104
"GOB"	44	8	4	4	72	34	66	6	2	0	0	44	0	32	36	62	14	18	4	10	38	6	16	14	30	8	76	6	8	14
"GOLS"	28	0	2952	2	34	27	12	4	0	4	0	18	0	14	4	14	6	6	0	4	8	0	0	7	4	4	14	2	0	6
"GOLT"	64	52	13070	6	275	484	184	32	24	5	2	191	16	1051	82	172	56	76	16	42	179	4	8	94	86	60	191	26	52	257
"GPC"	52	32	108	4	162	126	110	16	26	8	0	117	0	86	28	94	21	58	12	24	96	0	0	28	98	32	158	6	28	193
"GRD"	46	10	30	0	228	102	132	18	20	2	2	140	0	148	48	86	28	46	24	36	88	4	10	44	56	24	146	12	12	76
"GRM"	102	66	910	24	550	836	300	64	48	6	6	398	32	2742	82	324	106	208	28	126	350	2	18	134	222	56	494	30	34	816
"GSHF|RequiresSNPConfirmation"	25	0	8896	8	84	22	80	4	20	6	0	22	0	93	8	32	10	18	10	2	34	2	0	16	16	14	46	0	8	12
"GYRA|RequiresSNPConfirmation"	9499	4184	98631	1137	27086	39040	21803	3548	4243	1051	116	19924	1106	86542	11601	19018	7514	7349	1973	7000	18036	594	1159	7757	8981	4492	33781	1886	3153	31331
"GYRB|RequiresSNPConfirmation"	1754	771	17609	187	4726	8290	4084	530	730	128	26	4294	219	24173	2136	3499	1016	1437	335	1155	2934	99	216	1229	1391	829	3363	446	520	6852
"GYRBA|RequiresSNPConfirmation"	1449	778	23582	186	4253	7916	3748	658	863	164	40	4283	190	21676	1787	3231	1177	1388	324	1150	2953	83	197	1318	1728	649	4705	331	529	6956
"GYRC|RequiresSNPConfirmation"	38	18	300	0	102	94	101	16	16	0	0	49	2	106	50	101	24	16	10	44	84	1	2	22	22	22	96	12	12	20
"HASF"	28	24	1298	6	210	176	134	28	54	8	0	132	6	334	42	98	32	78	22	60	124	8	14	60	106	32	238	16	28	148
"HDEA"	10	0	0	2	14	24	2	0	6	0	0	30	0	100	12	26	4	0	0	3	6	6	2	0	2	2	20	8	0	0
"HDEB"	0	0	18	0	6	3	2	4	0	0	0	37	0	2	0	33	0	0	0	8	0	0	4	2	3	0	45	0	0	0
"HEFA"	2	0	0	0	30	12	22	2	10	0	0	10	0	6	30	14	4	8	0	2	26	2	2	8	4	16	24	0	10	6
"HEFC"	30	2	0	0	92	70	108	6	14	4	0	30	0	68	22	290	20	12	14	30	14	0	0	22	32	14	62	4	8	10
"HERA"	48	12	6	0	134	44	104	10	30	0	0	58	0	86	20	80	8	16	6	28	68	0	0	20	22	8	86	4	2	52
"HLYD"	36	36	144	8	142	215	106	26	30	12	0	140	30	573	32	106	40	60	26	54	140	0	16	38	102	46	180	22	22	254
"HMB"	4	2	0	2	46	2	16	2	10	0	0	22	0	2	12	26	10	6	8	12	8	0	0	8	18	2	42	2	0	8
"HMRM"	24	2	26	0	52	116	28	0	2	2	0	54	0	60	110	32	8	2	2	4	14	0	4	24	14	12	58	0	0	12
"HMRR"	8	10	10	4	64	82	66	36	2	4	0	34	2	92	18	60	10	40	12	18	58	0	6	4	30	2	50	0	12	144
"HNS"	21	14	3459	4	120	28	65	8	4	0	0	37	0	8	34	67	12	22	10	36	42	0	4	26	25	20	45	0	17	7
"HOXN"	28	6	2	0	122	76	78	10	42	8	0	60	0	534	48	56	22	26	14	32	68	8	0	26	22	22	254	4	4	130
"HP"	6	2	0	0	30	10	32	6	4	0	0	40	0	54	6	24	4	4	2	6	24	0	0	0	12	0	36	0	6	0
"HPCOPA"	38	12	106	0	96	38	64	2	2	6	0	38	0	38	26	60	12	14	4	32	48	8	4	18	20	16	38	2	0	20
"HPCOPP"	0	0	0	0	6	8	2	0	0	0	0	6	0	34	0	14	2	0	2	0	6	0	0	4	2	2	0	0	0	0
"HSMR"	20	28	52	2	106	202	36	2	8	2	0	122	18	1026	16	32	18	32	6	8	28	0	0	34	12	16	402	8	2	228
"HUGA"	10	2	330	0	82	14	88	12	2	2	0	18	0	122	36	56	14	4	4	12	22	0	0	6	18	12	30	0	2	10
"HUPE"	78	24	1654	10	350	410	160	50	72	14	4	184	18	1628	66	180	88	90	36	74	216	26	18	90	84	68	216	12	40	338
"HUPN"	40	6	712	8	146	212	46	10	12	6	2	126	0	424	14	24	18	38	16	26	44	0	2	38	26	16	100	6	6	126
"IBCR"	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IBPA"	17	0	7157	6	24	4	23	16	5	2	0	42	0	10	6	25	13	0	2	4	34	1	4	24	20	5	84	0	0	9
"IBPB"	4	0	6120	2	15	13	15	15	2	0	1	51	1	5	14	36	10	5	2	5	14	2	0	32	4	4	55	0	0	1
"ICLR"	39	2	5041	8	83	26	58	14	12	0	2	86	1	14	16	54	6	4	0	10	34	6	8	49	20	6	124	6	8	14
"ICR"	10	0	4	0	84	58	94	10	0	0	2	32	2	128	48	104	14	18	4	30	60	0	8	44	34	28	78	16	4	50
"IDER"	28	66	627	6	169	768	99	20	12	0	6	462	67	2607	14	59	30	122	13	44	52	6	2	81	10	10	114	14	31	1141
"ILES"	367	387	1748	89	1671	4495	876	120	274	42	1	2599	258	17803	403	691	403	847	144	478	828	55	56	530	366	214	11640	132	260	6142
"ILES|RequiresSNPConfirmation"	107	24	7629	1	176	576	384	10	15	6	4	149	12	2029	174	240	31	20	12	51	135	14	6	17	35	64	113	16	14	85
"IMI"	42	22	2	8	76	40	36	8	6	4	0	24	0	36	46	52	6	6	8	10	32	2	4	16	32	10	64	8	4	14
"IMP"	86	38	532	4	205	144	236	20	40	6	0	84	4	241	122	238	46	42	16	46	138	8	4	50	104	32	165	0	6	52
"IND"	92	18	108	4	244	84	162	28	30	2	2	98	0	174	72	122	36	40	12	40	168	14	8	54	88	30	210	8	24	36
"INHA|RequiresSNPConfirmation"	52	44	4	0	179	587	102	8	14	2	4	200	10	838	38	100	40	76	12	54	88	0	2	54	72	15	109	30	14	387
"INIA|RequiresSNPConfirmation"	46	18	932	18	202	284	116	10	48	2	2	130	14	412	68	116	48	56	28	52	100	2	8	48	38	42	194	19	34	210
"INIB|RequiresSNPConfirmation"	58	48	1628	10	236	596	162	24	28	4	0	216	6	1428	46	138	48	98	34	58	230	6	2	82	90	60	138	22	42	338
"INIC|RequiresSNPConfirmation"	136	48	436	2	346	338	152	74	62	16	0	324	28	2266	60	270	71	124	14	74	252	0	6	90	98	46	632	37	62	348
"IRFA"	104	70	1344	10	338	703	221	128	74	16	2	552	12	2112	86	158	104	182	42	118	264	8	30	160	86	74	790	44	44	754
"IRI"	56	16	2	2	124	332	88	10	8	0	10	125	16	752	28	90	28	38	3	44	66	4	8	58	33	24	88	12	12	368
"IRLR"	92	32	2298	6	282	294	94	16	52	8	0	174	0	398	60	132	86	80	12	68	162	4	18	64	83	36	514	16	27	224
"IRLS"	100	62	638	10	385	632	220	54	62	8	4	456	54	1564	94	160	84	92	34	82	226	10	10	98	146	34	1116	32	68	539
"JOHN"	4	4	0	2	12	12	48	2	0	0	0	12	2	16	10	20	6	0	4	2	6	0	0	4	6	2	4	2	0	6
"KAMB"	70	30	2	2	286	452	90	12	62	4	0	244	16	1792	34	124	48	90	20	70	124	16	14	60	46	50	138	24	24	448
"KASA|RequiresSNPConfirmation"	70	30	452	10	268	334	108	56	70	14	2	310	28	1443	56	148	51	102	14	70	226	4	2	64	70	34	236	12	40	386
"KATG|RequiresSNPConfirmation"	104	30	1029	19	381	598	194	64	62	22	10	401	16	1046	90	172	133	106	52	42	168	2	9	76	72	48	206	57	42	807
"KDEA"	46	44	2369	18	158	284	104	20	32	10	0	160	26	624	42	106	40	42	24	44	100	0	2	50	70	22	156	28	28	208
"KDPE"	56	28	8250	4	80	82	112	36	9	4	0	87	2	448	60	61	26	28	10	22	61	2	5	46	25	16	163	8	6	34
"KEXD"	30	8	76	8	162	81	92	20	12	10	0	36	4	48	60	120	64	18	12	58	96	4	2	26	78	38	94	6	10	36
"KGMB"	46	34	2	2	102	326	74	6	16	6	2	162	8	1998	22	52	22	46	2	48	58	2	12	42	22	6	80	0	10	298
"KHM"	6	2	0	2	30	64	32	0	10	0	0	40	0	82	18	20	16	20	2	4	40	0	0	30	4	12	16	2	0	182
"KLAB"	62	26	258	16	312	370	172	54	86	24	2	198	0	522	46	192	76	78	16	144	198	2	8	76	72	48	206	22	42	472
"KLAC"	46	46	222	8	218	288	184	30	12	10	8	162	0	600	52	112	50	74	12	36	166	2	6	88	40	24	126	14	42	272
"KLUC"	30	6	2	0	52	52	94	16	0	0	0	28	0	66	10	26	24	6	2	18	38	4	0	6	26	6	36	6	0	36
"KMR"	20	10	886	10	164	238	68	6	22	12	0	166	6	394	22	50	32	20	12	30	50	2	2	38	44	16	378	18	42	212
"KMRA"	68	58	32	10	234	258	162	44	56	0	0	156	2	314	54	168	80	56	18	50	136	6	16	36	82	40	306	24	42	192
"KMTR"	8	2	0	2	118	90	28	16	4	0	0	56	24	440	24	42	18	18	10	14	42	0	0	18	22	4	28	8	10	219
"KPC"	46	56	6	4	168	230	130	14	30	4	0	118	0	170	68	96	22	46	28	34	82	16	6	62	54	36	150	10	18	166
"KPN"	42	12	3176	8	136	176	108	13	16	8	0	86	2	364	22	110	14	18	8	44	144	4	2	52	52	14	159	12	9	78
"KPNE"	0	0	0	0	18	4	16	8	0	0	0	12	0	0	6	18	0	0	4	6	6	0	0	6	2	0	22	0	2	0
"KPNF"	12	8	64	6	34	48	42	8	6	4	2	16	0	68	10	34	4	6	4	22	10	0	0	2	6	2	36	2	14	54
"KPNO"	26	4	8769	6	105	52	60	18	23	3	0	83	0	104	26	71	16	15	18	20	62	6	5	50	48	22	130	10	13	34
"L1"	252	142	2238	54	1011	944	712	128	140	40	6	678	40	2526	208	506	228	321	128	332	650	24	24	372	268	136	1610	78	118	1031
"LAP"	24	4	0	0	36	12	12	0	0	0	0	4	0	38	4	12	2	0	4	0	16	0	0	10	8	2	18	0	2	4
"LAT"	0	0	0	0	2	2	4	0	2	0	0	2	0	0	0	4	2	0	2	4	0	0	0	0	0	2	4	0	2	2
"LCR"	16	4	2	0	38	6	16	6	2	0	0	4	2	70	6	14	8	6	8	2	26	0	0	2	8	10	2	0	0	0
"LDE"	8	2	3841	0	40	12	28	6	4	0	0	4	0	14	10	34	2	8	0	0	23	0	0	4	2	10	18	0	4	0
"LEN"	60	32	1224	0	171	198	136	34	40	4	2	122	10	598	30	96	50	56	26	62	172	4	8	50	66	54	176	30	16	94
"LHK"	28	12	6	4	140	94	104	0	26	2	0	38	4	144	42	102	26	22	28	38	98	8	10	36	38	16	88	4	8	48
"LIAFSR|RequiresSNPConfirmation"	66	22	7957	22	195	97	90	16	24	6	0	68	0	234	40	220	50	27	24	31	96	0	12	52	68	30	112	2	0	24
"LIN"	14	0	3866	0	44	20	32	2	4	0	1	14	0	38	14	44	8	0	4	12	28	2	0	8	5	4	12	6	0	2
"LLMA"	74	31	96	2	336	58	140	29	80	8	0	45	2	51	65	165	60	39	14	42	135	4	12	67	98	38	204	14	31	28
"LMRA|RequiresSNPConfirmation"	54	44	2068	18	296	549	182	38	66	2	6	300	32	950	76	122	74	48	38	110	238	12	18	78	64	72	1228	32	52	470
"LMRB"	12	22	5368	0	92	45	118	26	18	0	0	44	1	31	25	84	8	14	18	18	70	0	0	44	38	20	104	4	20	16
"LMRC"	148	62	1930	24	658	915	579	82	108	34	8	587	6	2622	170	522	127	208	40	111	363	14	24	196	124	108	1518	62	101	816
"LMRD"	32	2	822	0	94	84	158	13	8	0	0	51	6	167	40	166	28	16	6	24	40	2	2	20	32	6	58	16	10	14
"LMRP"	0	2	0	0	8	42	32	0	0	0	0	14	0	16	28	10	4	0	0	4	2	0	22	0	6	2	2	0	0	0
"LMRS"	12	0	3426	0	22	6	18	0	4	0	0	16	2	16	2	24	6	4	2	14	24	2	0	4	4	2	8	2	2	4
"LNUA"	18	8	474	1	33	20	74	0	0	1	0	20	2	39	36	62	6	10	0	19	48	6	1	22	18	20	61	4	4	6
"LNUB"	4	0	0	0	6	4	14	0	0	0	0	8	0	2	5	4	0	0	0	0	2	0	0	0	2	0	0	0	0	0
"LNUC"	52	86	36	37	1716	76	385	20	161	3	1	84	4	473	312	455	20	325	174	538	901	21	22	115	105	321	1446	37	78	47
"LNUE"	4	0	0	0	4	6	12	0	0	0	0	6	0	10	8	10	0	2	0	0	4	0	0	2	10	0	10	0	0	8
