"K2"	"K4"	"K10"	"K3"	"K5"	"K23"	"K7"	"K24"	"K19"	"K8"	"K9"	"K28"	"K12"	"K6"	"K30"	"K21"	"K11"	"K14"	"K17"	"K27"	"K16"	"K1"	"K20"	"K25"	"K26"	"K22"	"K13"	"K18"	"K29"	"K15"
"BLAA"	114	66	1690	14	550	434	394	70	58	28	0	282	26	774	126	374	104	64	42	90	310	18	26	120	152	66	382	46	56	346
"BLAB"	26	14	8	6	144	36	90	4	28	2	0	56	0	86	82	114	28	20	4	24	104	4	4	40	50	36	106	2	30	16
"BLAC"	78	40	724	8	294	420	182	14	30	12	2	210	10	554	104	130	58	70	32	62	332	10	4	64	52	24	522	34	28	210
"BLACRP"	86	46	2	10	222	156	126	18	22	4	0	122	0	616	40	76	52	54	24	68	186	8	12	54	36	26	172	8	36	60
"BLAE"	42	26	0	6	127	198	128	16	34	10	2	100	6	178	64	88	42	54	10	50	166	2	12	70	54	36	116	6	36	128
"BLAEAM"	14	18	250	0	94	142	56	8	12	2	4	100	2	266	20	44	24	28	2	40	36	6	0	46	50	26	38	10	12	112
"BLAEC"	10	8	460	6	66	66	82	10	10	0	0	74	2	113	24	67	14	19	0	12	35	1	0	21	46	15	120	10	16	180
"BLAECM"	32	42	248	10	226	246	112	6	56	2	0	146	20	388	44	222	44	28	18	20	108	0	2	48	12	32	108	4	22	244
"BLAF"	44	16	140	2	214	245	86	20	10	6	0	80	2	1692	50	128	60	58	22	46	92	20	10	30	82	34	134	6	26	197
"BLAI"	8	0	1046	2	70	28	41	2	2	2	0	26	0	26	24	30	18	0	0	8	22	0	0	12	24	4	46	2	6	2
"BLAL"	106	48	170	10	376	502	226	22	62	2	0	310	12	1694	84	160	94	122	36	112	172	0	6	108	134	54	268	24	32	630
"BLAP"	4	18	10	2	64	24	68	2	4	2	0	30	0	26	4	50	14	6	6	6	30	4	0	12	10	10	16	6	12	8
"BLAPAM"	62	36	276	26	278	454	162	42	68	12	2	228	10	1472	80	144	84	98	16	74	240	14	2	96	120	54	400	34	34	418
"BLAPLA"	10	4	0	0	50	20	38	2	4	4	0	6	0	12	16	40	12	6	0	6	30	6	0	10	6	4	8	6	6	2
"BLAR"	38	6	3697	0	96	28	97	4	24	4	0	37	4	76	54	132	30	14	4	24	72	0	0	26	16	12	88	6	12	8
"BLAS"	40	22	198	4	158	124	88	34	24	4	0	82	2	426	26	60	30	50	12	40	104	6	2	30	30	32	90	8	26	132
"BLASGM"	456	230	6226	102	1609	1540	1081	340	388	52	14	1000	32	4414	368	886	412	406	110	474	1110	34	56	500	455	246	1528	124	236	1466
"BLASME"	2	0	0	0	18	4	4	0	0	2	0	8	0	22	2	8	0	2	2	0	4	0	4	8	12	6	20	0	0	0
"BLAZ"	72	15	2482	4	104	102	136	8	24	2	0	97	0	146	62	102	28	26	18	14	90	4	4	19	52	28	84	2	2	14
"BLE"	32	34	4	2	176	298	120	16	22	0	0	196	8	442	40	58	38	50	12	58	72	0	22	44	52	24	118	6	10	386
"BLM"	32	26	398	16	222	484	132	22	38	4	2	308	30	1338	52	94	76	78	24	69	158	2	10	78	52	50	210	6	28	766
"BLT"	8	4	1708	0	26	14	32	2	0	0	0	31	0	14	14	30	9	2	2	6	32	2	14	10	6	6	16	8	10	16
"BLTD"	2	0	738	2	3	6	18	2	0	0	0	8	0	18	10	4	2	4	0	4	4	0	0	2	0	0	6	0	6	6
"BLTR"	6	2	1066	0	4	13	30	2	2	0	0	10	0	26	4	24	1	2	0	6	14	0	0	4	2	0	6	2	0	6
"BMR"	20	5	4052	6	70	84	60	14	8	2	4	43	0	220	50	92	16	10	12	18	32	0	2	36	26	5	97	3	8	24
"BPU"	10	0	0	0	4	4	22	2	2	0	0	0	0	4	10	14	6	0	0	0	5	0	0	14	12	6	12	0	4	2
"BRO"	10	2	22	0	60	34	42	8	0	0	0	14	0	52	18	10	2	26	0	6	8	0	8	8	12	0	36	2	2	2
"BRP"	4	8	122	0	24	28	38	4	8	0	0	26	0	22	18	14	10	16	8	18	26	2	2	18	16	2	180	20	2	24
"BSU"	10	2	0	4	20	78	34	4	4	0	0	24	2	206	10	14	26	18	2	6	40	6	0	8	10	16	6	0	6	260
"BUT"	50	34	568	18	162	94	120	28	18	12	0	68	2	248	28	64	24	62	26	30	126	6	6	34	32	38	110	8	26	74
"CADA"	20	12	236	8	140	64	120	10	16	2	0	32	8	86	44	106	40	50	14	42	82	2	8	20	42	24	130	6	6	30
"CADC"	0	2	0	0	17	7	4	0	2	0	0	0	0	56	0	8	4	4	0	0	16	0	2	0	6	4	6	0	0	2
"CADD"	8	0	0	0	2	6	24	6	0	0	0	4	0	18	0	32	6	0	4	0	2	0	0	0	4	8	2	2	0	0
"CADR"	14	2	784	0	44	50	22	2	0	0	0	40	2	40	6	154	14	18	12	8	48	0	0	22	42	8	62	4	6	30
"CADX"	4	0	0	0	3	0	4	0	0	0	0	12	2	7	6	12	4	0	2	0	2	0	0	0	4	2	1	0	0	0
"CAM"	14	0	0	0	40	16	6	2	2	0	0	12	0	30	18	32	6	6	2	16	32	0	0	2	10	2	28	0	0	16
"CAP16S|RequiresSNPConfirmation"	3317	1316	24434	399	13478	8075	9348	1346	1620	320	23	3905	80	8105	6145	9721	2529	2071	1012	2332	6737	235	499	2914	3737	1837	9973	718	1064	1954
"CARA"	204	185	526	56	1054	1468	631	124	187	28	2	985	64	5183	225	494	216	282	72	348	700	12	24	273	342	145	877	47	122	1288
"CARB"	61	62	240	6	374	1162	246	5	5	4	2	232	75	3504	78	188	76	92	12	93	85	5	13	57	65	52	173	4	50	401
"CAT"	98	128	5908	14	592	474	311	56	58	6	2	353	44	1190	172	366	100	113	50	90	255	0	16	102	174	96	292	23	43	496
"CATA"	136	24	538	14	462	204	313	68	74	10	0	146	16	391	132	260	66	71	36	68	273	10	14	108	104	90	291	8	38	140
"CATB|RequiresSNPConfirmation"	119	70	126	22	470	489	332	50	72	2	4	303	6	614	95	281	116	73	42	128	234	4	8	140	119	54	378	22	39	283
"CATP|RequiresSNPConfirmation"	2	4	76	0	12	6	10	2	2	0	0	8	0	36	4	16	4	0	2	2	0	0	2	4	0	0	4	0	0	14
"CATS"	4	0	0	0	14	6	2	0	0	0	0	3	0	2	6	20	2	2	0	0	8	0	0	4	6	0	2	0	0	0
"CAU"	66	20	196	10	274	162	150	30	44	8	0	140	0	246	46	106	68	88	18	94	166	8	6	72	50	40	174	34	30	134
"CBLA"	18	8	0	4	52	30	34	12	6	2	0	16	0	4	22	30	6	8	8	2	24	4	6	12	12	12	66	10	8	2
"CBP"	2	0	0	0	2	14	28	6	0	0	0	10	0	16	8	18	0	4	0	0	2	0	0	0	4	0	2	8	0	2
